复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
华建集团	上海机场	【华建集团：下属公司签订总价4.45亿元工程设计合同】华建集团(600629)10月20日晚间公告，近日，公司下属公司华东院作为项目联合体牵头方和上海机场(集团)有限公司签署了《浦东机场南区地下交通枢纽及配套工程设计勘察总承包合同》
中国联通	江铃汽车	【江铃股份与中国联通达成战略合作】10月20日，江铃汽车股份有限公司与中国联通江西省分公司战略合作签约仪式在江铃股份富山工厂举行
中信建投	安琪酵母	【中信建投：调味品提价的利好更多体现在明年】中信建投方面表示，除海天外，安琪酵母也在9月底对国内大包装酵母产品进行提价，提价幅度达20%+，为历史提价较高
中国长城	长城信息	【中国长城：拟将所属控股公司长城信息分拆至创业板上市】中国长城(000066)10月19日晚间公告，拟将所属控股公司长城信息分拆至深圳证券交易所创业板上市
通策医疗	爱美客	整体而言，明星股股价虽表现不佳，但基金经理是积极抢筹，尤其像通策医疗、爱美客等大跌的，被抢筹的更凶
国新能源	海通证券	【国新能源：田森物流拟将所持4.22%股份转让给张磊】国新能源(600617)10月19日晚间公告，持股9.65%股东田森物流于10月13日与张磊及海通证券签订了《股份转让协议》，田森物流拟将其持有的公司5809.76万股(占总股本4.22%)以每股3.69元的价格转让给张磊，转让价总额为2.14亿元
南岭民爆	葛洲坝	【南岭民爆：拟收购易普力100%股份 明起停牌】南岭民爆(002096)10月19日晚间公告，正在筹划发行股份及/或支付现金购买中国葛洲坝集团易普力股份有限公司全体股东合计持有的易普力100%股份，公司股票自10月20日开市时起停牌
盈峰环境	中联重科	【盈峰环境：子公司联合体中标垃圾收转运设施建设项目 对应金额预计3429万元】盈峰环境(000967)10月19日晚间公告，全资子公司长沙中联重科环境以联合体形式中标临澧县城镇生活垃圾收转运设施建设项目，公司负责提供本项目垃圾收运设备，对应金额预计3429万元
众信旅游	张家界	【旅游板块持续走弱 长白山跌超7%】旅游板块持续走弱，长白山跌超7%，众信旅游、凯撒旅业、张家界跟跌
招商银行	中远海控	盘面上，科技股、大金融股拉升助力大市上扬，哔哩哔哩大涨超12%，快手大涨8%，小米涨超4%，网易、美团涨超2%，招商银行、友邦保险均涨近3%；电力板块领涨，乳制品股、海运股、苹果概念股、锂电股、汽车股、教育股等普遍上涨，中远海控升超6%
招商银行	中远海控	科技股、大金融股上涨，B站大涨超12%，快手涨8%，小米涨超4%，网易、美团涨超2%，招商银行、友邦保险均涨近3%；海运股上涨，中远海控升超6%
星华反光	春晖智控	【午间公告：星华反光上修业绩预告 春晖智控拟购买世昕软件51%股权】10月18日午间公告
广汽集团	比亚迪	港股汽车股上涨，小鹏汽车涨超4%，恒大汽车涨超3%，吉利汽车涨2.66%，广汽集团、理想汽车、比亚迪股份涨超1%
泸州老窖	五粮液	【泸州老窖“上新”！价格899元/瓶 布局次高端 茅台、五粮液也有动作】10月17日，泸州老窖发布战略新品泸州老窖1952
山东黄金	中电电机	港股早知道：①MSCI中国A50互联互通(美元)指数期货正式开始交易；②山东黄金发盈警；③北控清洁能源集团与中电电机订立重组协议，以实现光伏发电及风力发电业务于上交所上市；④中国忠旺公布下属公司及其子公司已出现严重经营困难
和晶科技	富吉瑞	【和晶科技：参设的产业基金所投资企业富吉瑞在科创板上市】和晶科技(300279)10月18日晚间公告，公司以有限合伙人身份参与设立的苏州空空创业投资合伙企业(有限合伙)、苏州兆戎空天创业投资合伙企业(有限合伙)所投资参股的富吉瑞(688272)于10月18日在上交所科创板上市
华能国际	大唐发电	港股电力板块跌幅居前，华润电力(00836.HK)跌6.29%，中国电力(02380.HK)跌5.65%，华能国际电力(00902.HK)跌4.59%，大唐发电(00991.HK)跌2.94%
外高桥	中国船舶	【中国首制大型邮轮实现全船贯通】10月18日，中国首制大型邮轮在上海外高桥造船有限公司如期实现全船贯通，这标志着中国船舶工业在大型邮轮建造领域取得重大突破
众兴菌业	贵州茅台	【金针菇大户收购白酒“泡汤” 前三季度预亏超4500万 近6万股东心碎：会有几个跌停？】今年6月20日晚间，众兴菌业公告拟现金收购刘见、刘良跃持有的贵州圣窖酒业集团有限公司(原贵州茅台镇圣窖酒业股份有限公司)100%的股权
厦钨新能	格林美	【厦钨新能：荆门格林美将向公司供应四氧化三钴、三元前驱体】厦钨新能(688778)10月17日晚间公告，与荆门格林美在矿产资源开发、产品供销、产品加工、信息合作等层面建立战略合作伙伴关系
珠海冠宇	赣锋锂业	【这两家A股公司被“相中”！详解小米造车动力电池布局】小米目前已投资了4家动力电池企业，其中两家涉及A股上市公司，分别为珠海冠宇、赣锋锂业(小米入股江西赣锋锂电科技有限公司，下称“赣锋锂电”)，而另两家蜂巢能源、中航锂电，则是国内外动力电池装车量排名前列的企业
宁德时代	欣旺达	在标准制定的过程中，宁德时代、欣旺达等多家上市公司深度参与
龙磁科技	大地熊	行业方面，朱雀基金调研的龙磁科技、大地熊均有稀土永磁概念；业绩方面，这些公司上半年净利均实现增长，多家公司还增幅超过2倍；绝大部分公司上半年营收增幅较好，市盈率不高
永兴材料	中矿资源	【锂盐股大幅走高】盐湖股份拉升触板，盛新锂能、科达制造、永兴材料、中矿资源等锂矿股大幅跟涨
中兴通讯	赣锋锂业	港股早报｜①中兴通讯前三季度利润翻番；②思摩尔国际新型电子烟被FDA授权，前三季度经调整纯利同比增加71.6%；③赣锋锂业前三季度净利预增530%至678%
众兴菌业	贵州茅台	【众兴菌业：终止收购圣窖酒业】众兴菌业(002772)10月15日晚间公告，公司6月20日曾披露拟现金收购贵州圣窖酒业集团有限公司(原贵州茅台镇圣窖酒业股份有限公司)100%的股权
皖能电力	国电电力	【皖能电力：拟出资26.45亿元对神皖能源进行增资】皖能电力公告，国能神皖能源有限责任公司(简称：神皖能源)是公司和北京国电电力有限公司(“北京国电”)共同投资的有限责任公司
中国船舶	浦发银行	【中国船舶集团与浦发银行签署战略合作协议】10月15日，中国船舶集团有限公司与上海浦东发展银行股份有限公司在京签署战略合作协议
浦发银行	中国船舶	浦发银行将对中国船舶集团的授信额度提升至600亿元，为后续双方扩大合作奠定了基础
长鹰信质	长信科技	【长鹰信质：拟收购蒲江县长信科技发展有限公司部分资产】长鹰信质(SZ 002664)10月15日晚间发布公告称，为进一步落实中西部地区业务发展布局，长鹰信质科技股份有限公司通过全资子公司成都信质科技有限公司拟以不超过5000万元的自有资金收购蒲江县长信科技发展有限公司部分资产(含土地及厂房)
秦安股份	创意信息	【秦安股份：拟以4000万元参与认购创意信息非公开发行股份】秦安股份公告，拟以4000万元参与认购创意信息非公开发行股份，本次认购完成后，公司持有创意信息的股份比例为0.74%
通策医疗	招商证券	【通策医疗二连跌停 三机构买入2.66亿元】通策医疗今日再度跌停 ，盘后数据显示，招商证券深圳南油大道卖出1.78亿元，两机构卖出1.88亿元，三机构买入2.66亿元，沪股通买入6220万元
南京高科	百普赛斯	【南京高科：百普赛斯将于10月18日在创业板上市】南京高科(600064)10月15日晚间公告，公司股权投资业务参股投资项目公司百普赛斯将于2021年10月18日在深交所创业板上市，股票简称百普赛斯，发行价格112.5元/股
比亚迪	长城汽车	该行重申在行业首选吉利汽车(00175.HK)、比亚迪股份(01211.HK)、中升(00881.HK)及小鹏汽车(09868.HK)；花旗料长城汽车在其公布第三季业绩发布后可能会获市场重估
紫金矿业	长城汽车	行业板块多数上涨，教育股暴涨，新高教集团涨23%、中教控股涨近19%；黄金及贵金属板块大涨，紫金矿业涨超7%；汽车产业股全线爆发，五菱汽车涨11%、中升控股涨8.7%，吉利、小鹏、长城汽车涨超7%；烟草概念股全线大涨，思摩尔国际涨9.7%；光伏、钢铁、OLED、稀土等概念活跃
长城汽车	紫金矿业	教育股暴涨，新高教集团涨23%，中教控股涨近19%；汽车股全线爆发，五菱汽车涨11%、中升控股涨8.7%，吉利、小鹏、长城汽车涨超7%；黄金及贵金属板块大涨，紫金矿业涨超7%；烟草概念股集体大涨，思摩尔国际涨9.7%
顺丰控股	保龄宝	【早间公告：顺丰控股控股子公司港交所上市获中国证监会核准】保龄宝：预计前三季净利为1.4亿至1.6亿元，同比增160.85%-198.11%；前三季度公司赤藓糖醇产品供需两旺，赤藓糖醇价格较上年同期有较大涨幅，同时带动其他功能糖产品市场需求
康希诺	长城汽车	大公司动态：①特斯拉中国刘洋：特斯拉未来全球年产量能达到2000万辆；②康希诺等24个生物医药项目落地临港新片区，总投资147亿；③高通宣布新一轮股票回购计划，规模100亿美元；④长城汽车经营范围新增摩托车制造与销售；⑤快手电商将今年GMV目标下调至6500亿元
曼卡龙	宝鼎科技	【14只个股5日量比超过5倍】统计显示，5月14日共有14只个股5日量比超过5倍，曼卡龙量比为12.35倍居首，宝鼎科技量比为10.3倍，*ST众泰、ST摩登、*ST园城等ST概念股均上榜
招商公路	山西路桥	招商公路同日公告，参与认购山西路桥募集配套资金，认购总额4.8亿元
启迪环境	城发环境	启迪环境表示，公司1-9月业绩较上年同期变化较大主要是受公司整体投资战略进行调整及公司与城发环境股份有限公司推进吸收合并暨重大重组方案的影响
通策医疗	中信证券	【通策医疗闪崩跌停 两机构卖出1.47亿元】通策医疗今日闪崩跌停，盘后数据显示，中信证券上海溧阳路卖出2.04亿元，两机构席位卖出1.47亿元
京沪高铁	中国平安	【京沪高铁：平安资管拟减持不超2.55%公司股份】京沪高铁(601816)10月14日晚间公告，平安资管根据京沪计划受益人的减持申请（提交减持申请的受益人中不包括中国平安人寿保险股份有限公司），拟减持不超过2.55%的公司股份
南极电商	壹网壹创	【电商概念股异动】南极电商拉升封板，壹网壹创、值得买、星期六等跟涨
盛屯矿业	西藏珠峰	值得一提的是，盛屯矿业、西藏珠峰两只个股，今年、明年及2023年机构一致预测净利增速均超过20%，其中盛屯矿业净利增速均超30%
兴业银行	光大银行	此前，兴业银行、光大银行等多家银行整合旗下APP产品功能，为移动客户端业务“瘦身”
万华化学	海康威视	【万华化学与海康威视达成战略合作，涉及化工新型高端材料研发领域】10月13日，杭州海康威视数字技术股份有限公司与万华化学集团股份有限公司签署战略合作协议
万华化学	海康威视	据介绍，在化工新型高端材料研发方面，万华化学将与海康威视在硬件产品的结构材料升级上持续合作
海康威视	万华化学	在化工安全生产管控方面，海康威视为化工企业提供基于AI的生产辅助、安全管控感知解决方案，以科技的融合创新，助力万华化学数智化转型
宁德时代	中国人保	【宁德时代与中国人保财险战略合作 聚焦新能源汽车后市场领域】10月12日，宁德时代与中国人保财险在北京举行战略合作框架协议签约仪式
永泰能源	兰花科创	【山西洪灾停产煤矿正陆续复工复产】据悉，目前，山西焦煤、晋控煤业、潞安化工、华阳新材、永泰能源、兰花科创等上市公司所属煤矿均处于正常生产状态
新华制药	九州通	【新华制药：与九州通医药集团签署全面战略合作协议】10月11日，山东新华制药股份有限公司与九州通医药集团股份有限公司在武汉签署全面战略合作协议，标志着双方合作迈入新阶段
中曼石油	申万宏源	【中曼石油：中曼控股拟转让4%公司股份 用于偿还质押融资本金】中曼石油公告，中曼控股拟通过协议转让方式向尚磊转让持有的4%公司股份，用以偿还其在申万宏源质押融资本金，降低股票质押风险；本次股份转让不会导致公司控股股东及实际控制人发生变化，不涉及公司控制权变更
韦尔股份	万科A	韦尔股份、万科A分别获净卖出2.49亿元、2.05亿元
欢瑞世纪	方正证券	【欢瑞世纪：股东诉讼达成和解】欢瑞世纪(000892)12日晚公告，公司收到股东欢瑞联合的通知，欢瑞联合就诉讼事项与质权人方正证券达成和解
航天机电	航天科技	【航天机电：拟转让新光电器20%股权】航天机电(600151)10月12日晚间公告，公司拟通过国有产权交易系统挂牌，以不低于经中国航天科技集团有限公司备案同意的净资产评估值，转让所持新光电器20%股权
比亚迪	长城汽车	9月，厂商批发销量突破万辆的企业有：比亚迪70432辆、特斯拉中国56006辆、上汽通用五菱38850辆、上汽乘用车21552辆、广汽埃安13572辆，长城汽车12770辆、蔚来汽车10628辆、小鹏汽车10412辆
纳思达	美瑞新材	【早间公告：纳思达等前三季业绩预增；美瑞新材拟合作开发PBS产品】美瑞新材：基于对可生物降解材料行业长期发展的看好以及公司的技术、原料产业优势，公司与河南能源化工集团鹤壁煤化工有限公司签战略合作意向性协议，拟在“聚丁二酸丁二醇酯（PBS）产品”领域开展合作，PBS产品属于新的业务领域
宁德时代	紫金矿业	【50亿大手笔！A股“黄金矿工”涌入新能源赛道 宁德时代却成最大赢家 什么情况？】日前，紫金矿业与加拿大锂盐公司Neo Lithium达成要约收购协议，紫金矿业拟以每股6.50加元收购Neo Lithium所有流通股，总对价约9.6亿加元(约合49.6亿人民币)
伊利股份	贵州茅台	10月8日，北向资金对801只股票的持股数增加，对673只股票进行了减仓，其中对伊利股份加仓金额最大，对贵州茅台减仓金额最大
金晶科技	中信特钢	【三季报首秀来了！光伏、钢铁公司获“头彩” 已有绩优股20cm涨停】10月11日晚，光伏公司金晶科技和钢铁公司中信特钢分别交出沪、深两市首份三季报
招商银行	中国人寿	大幅净买入腾讯控股15.23亿港元、招商银行2.24亿港元、中国人寿1.97亿港元；净卖出东岳集团6.38亿港元
北方稀土	安泰科技	【北方稀土：拟合资建设年产5000吨稀土永磁产业化项目】北方稀土10月11日盘后公告，公司拟与安泰科技及公司控股子公司内蒙古包钢稀土磁性材料有限责任公司(以下简称包钢磁材)合资组建稀土永磁业务新公司，以合资公司为主体，利用包钢磁材现有土地、厂房和设施建设年产5000吨稀土永磁产业化项目
融捷股份	比亚迪	【融捷股份：近一年与比亚迪签订锂电设备和锂盐产品合同5.09亿元】融捷股份(002192)10月11日晚间公告，2020年10月10日至2021年10月8日，公司基于日常经营的需要连续十二个月内与关联方比亚迪签订多份销售合同，合同标的为锂电设备和锂盐产品，合同金额累计达5.09亿元，合同累计金额超过公司最近一个会计年度主营业务收入50%
安泰科技	北方稀土	【安泰科技：拟与北方稀土等设立合资公司 实施高端稀土永磁制品产业项目】安泰科技(000969)10月11日晚间公告，拟与北方稀土、包钢磁材共同出资4亿元组建合资公司，三方分别出资2.04亿元、1.66亿元、3000万元，占注册资本的51.00%、41.50%、7.50%
深圳瑞捷	东方雨虹	【深圳瑞捷：与东方雨虹有限签署战略合作框架协议】深圳瑞捷(300977)10月11日晚间公告，与上海东方雨虹防水技术有限责任公司(简称“东方雨虹有限”)签署战略合作框架协议，共同研究及制定行业相关防渗漏或防水材料工艺节点及标准，并一起向行业进行推广
恒源煤电	上海能源	煤电股盘中拉升，恒源煤电、上海能源涨停，总市值十万亿的银行板块早盘冲高，个股普遍上涨，其他如农业种植、国防军工、互联网电商等板块涨幅前列，燃气、环保、智能电网、CRO等板块跌幅居前
金冠股份	万马股份	金冠股份、万马股份：两公司拟参设白鹭充换电产业投资基金，金冠股份出资1.5亿元，占30%份额，万马股份出资2亿元，占40%份额
海螺水泥	亚泰集团	【时隔七年再出手！海螺水泥举牌亚泰集团意欲何为？被举牌方称双方未有沟通】10月8日晚，亚泰集团(600881.SH)发布公告称，2021年7月7日至10月8日，海螺水泥以自有资金通过集中竞价方式买入公司股份，截至10月8日，共买入上市公司1.62亿股股份，占已发行股份数量的比例为5%
紫金矿业	宁德时代	【紫金矿业豪掷50亿阿根廷买锂矿 宁德时代一年前已布局】近日，A股又有土豪公司出手购买锂矿资源
万马科技	高新兴	【万马科技：全资子公司签订车联网产品框架合同】万马科技10月10日晚间公告，公司全资子公司上海优咔与高新兴物联科技有限公司签订《车联网产品框架合同》，双方约定在合同有效期内，上海优咔为高新兴或其最终客户提供领先的车联网连接整体方案，其中包括智能车辆网业务管理平台软件产品（MNO）、车联网运维服务、SIM卡业务上展开合作
江南水务	模塑科技	【江南水务：模塑科技拟减持公司不超2%股份】江南水务(601199)10月10日晚间公告，模塑科技(000700)拟在15个交易日后6个月内，减持公司股份合计不超过1870万股，即不超过公司股份总数的2%
中国电信	中国联通	【中国电信和中国联通联合推出共建共享区块链调度平台】近日，由中国电信和中国联通联合自主研发的共建共享区块链调度平台在2021年中国国际信息通信展览会上首次亮相
庞大集团	众泰汽车	【曾接盘庞大集团的深圳老板 又要接手众泰汽车了】10月8日晚间，*ST众泰发布了一则《关于公司重整进展的公告》，公告显示，历经了3个月的重整投资人招募工作正式完成
亚泰集团	海螺水泥	10月8日晚间，吉林的水泥建材股亚泰集团公告，2200亿市值的水泥股龙头海螺水泥7月以来狂买了5%，构成举牌
中国电信	中兴通讯	【中国电信国际与中兴通讯签署战略合作协议】近日，中兴通讯与中国电信国际有限公司(以下简称“中国电信国际”)在香港签订战略合作协议
中曼石油	岳阳兴长	【中曼石油、岳阳兴长等涨停！天然气价格上演“史诗级”行情 相关受益标的梳理】石油板块8日盘中走势强劲
招商证券	长城汽车	港股早报：①中誉集团投资恒大将产生重大亏损；②招商证券总裁突然辞职；③美国参议院领导人同意将债务上限提高了4800亿美元；④长城汽车：减持时间过半，赵国庆及徐辉尚未减持股份
溢多利	恩捷股份	【早间公告：溢多利下属公司原料药恢复出口美国市场 恩捷股份前三季度净利润预增164%-178%】10月8日早间公告
华瓷股份	高铁电气	【新股提示：华瓷股份、高铁电气今日申购】今日可申购华瓷股份和高铁电气
华瓷股份	高铁电气	华瓷股份申购代码：001216，申购价格：9.37元，单一账户申购上限2.5万股，公司主要从事陶瓷制品的研发、设计、生产和销售；高铁电气申购代码：787285，申购价格：7.18元，单一账户申购上限2.25万股，公司主要从事电气化铁路接触网产品、城市轨道交通供电设备及轨外产品的研发、设计、制造和销售
华能国际	大唐发电	港股电力股午后持续下行，华能国际电力(00902.HK)跌10.54%，中广核电力(01816.HK)跌8.84%，大唐发电(00991.HK)跌7.69%
华能国际	大唐发电	华能国际A股等多股跌停，大唐发电A股跟跌
欧菲光	闻泰科技	得尔塔此前是欧菲光子公司，从事苹果公司摄像头模组业务，今年上半年得尔塔被闻泰科技收购
良品铺子	三只松鼠	【套现20亿！“坚果双雄”遭创投大手笔减持 一度大跌8%】“坚果双雄”遭高瓴系和IDG大手笔减持，今日开盘，良品铺子和三只松鼠股价均一度跌超8%
良品铺子	三只松鼠	截至发稿，良品铺子跌3.81%，报37.14元/股；三只松鼠跌6.74%，报35.85元/股
福莱特	洛阳玻璃	【光伏太阳能板块普涨】光伏太阳能板块集体上涨，其中水发兴业能源涨7%，福莱特玻璃，顺风清洁能源涨5%，阳光能源涨4%，信义光能涨3%，彩虹新能源，洛阳玻璃股份涨2%
福耀玻璃	福莱特	【光伏太阳能股下跌 信义玻璃跌4%】光伏太阳能股集体下跌，其中信义玻璃跌4%，福耀玻璃，福莱特玻璃，信义光能跌3%，彩虹新能源跌2%
君实生物	复星医药	港股抗疫概念股走低，君实生物(01877.HK)跌4%，石药集团(01093.HK)跌3.3%，阿里健康(00241.HK)、京东健康(06618.HK)跌2.5%，中国生物制药(01177.HK)跌2.2%，平安好医生(01833.HK)、复星医药(02196.HK)跌1.9%
兖州煤业	中煤能源	【煤炭股高开 全球能源危机加剧】煤炭股高开，兖州煤业和中煤能源均高开逾4%
中远海控	中远海能	【行情】港股港口运输股普涨，太平洋航运(02343.HK)涨4.2%，中远海控(01919.HK)涨2.5%，中远海能(01138.HK)涨2.8%，招商局港口(00144.HK)涨1.8%
中国能建	中国西电	【中企承建埃及-沙特超高压直流输电线路项目签约】中国能源建设股份有限公司(中国能建)、中国西电集团有限公司(中国西电)和埃及吉萨电缆工业公司组成的联合体，5日成功签约埃及-沙特±500千伏超高压直流输电线路EPC项目
复星医药	兖州煤业	能源、医药股领涨，复星医药涨近9%，兖州煤业涨超7%
复星医药	康希诺	港股医药板块反弹，复星医药涨幅扩大至10%，诺诚健华涨超5%，康希诺生物涨超3%
宁德时代	比亚迪	其中，宁德时代和比亚迪表现出最强的竞争力
宁德时代	比亚迪	前8个月，宁德时代销售额增长273%，占据27.3%的市场份额，比亚迪的销售额增长了287%，占据7.6%的市场份额
复星医药	康希诺	疫苗股集体反弹，复星医药暴涨15.12%，康希诺涨超6%
复星医药	康希诺	港股医药股大跌，复星医药跌超20%，康希诺生物跌超12%，药明生物跌超7%
康希诺	复星医药	港股生物医药股跌幅居前，开拓药业(09939.HK)跌15%，康希诺生物(06185.HK)跌12%，复星医药(02196.HK)跌10.6%，药明生物(02269.HK)跌5.6%，再鼎医药(09688.HK)跌4%
康希诺	复星医药	【港股收评】恒生指数收盘下跌2.19%，新冠特效药传闻重创医药股，康希诺生物跌23%，复星医药跌近20%
康希诺	复星医药	 截至发稿，康希诺生物跌23.35%，复星医药跌20.85%
康希诺	复星医药	生物医药板块重挫，腾盛博药、康希诺生物大跌超24%，复星医药大跌19%；大型科技股普跌，美团、小米、网易跌超3%，阿里、腾讯均下跌；物管股逆势领涨，航空股、煤炭股、在线教育股强势，新东方-S大涨近13%
ST银亿	康强电子	【重整投资方违约！*ST银亿重整或将自动终止 “白马骑士”承诺投资款只兑现60%！】“银亿系”掌门人熊续强，曾是宁波“首富”，掌控着*ST银亿(000981 下称“银亿股份”)、康强电子(002119)、河化股份(000953)三家A股公司
康希诺	生物股份	【巴西将引进中国康希诺新冠疫苗】当地时间10月1日，巴西Biomm生物制药公司与中国康希诺生物股份公司签署协议，将引进康希诺生物股份公司生产的新冠疫苗，并将向巴西国家卫生监督局申请康希诺新冠疫苗的紧急使用权
富安娜	梦洁股份	有投资者担忧，此次富安娜实控人离婚将走上另一家家居纺织企业梦洁股份2017年离婚减持的老路
中国电信	中国联通	【工信部组织召开电信服务质量座谈会】工信部消息，9月28日工信部信息通信管理局在京组织召开电信服务质量座谈会，中国电信、中国移动、中国联通等基础电信企业集团公司相关负责人参会
洛阳玻璃	福莱特	【光伏太阳能股走低 硅料上涨使产业承压】光伏太阳能股今日走弱，协合新能源跌5%，北京能源国际，信义玻璃跌4%，洛阳玻璃股份跌近2%，信义光能，福莱特玻璃跌1%
金风科技	格力电器	新能源日报：①金风科技首次涉足抽水蓄能业务；②旭阳集团发布氢能发展规划；③董明珠力推储能业务，格力电器多元化提速；④特斯拉完成上海充电站百站千桩目标，将开放给其它电动车；⑤百度Apollo发布自动驾驶出行服务半年报：7月复乘率达到39.3%
洛阳钼业	中国化学	【洛阳钼业：与多家央企达成战略合作 加速存量资源开发】据洛阳钼业官微消息，近日，洛阳钼业先后与中国化学工程集团有限公司、中国土木工程集团有限公司、矿冶科技集团有限公司等多家“国字号”企业签订战略合作伙伴协议，深化在工程建设领域的合作，加大资源开发力度，加速将存量资源转化为产能、转化为经济效益
福莱特	洛阳玻璃	港股光伏板块走低，信义玻璃(00868.HK)跌近5%，福莱特玻璃(06865.HK)、洛阳玻璃(01108.HK)跌2%，信义光能(00968.HK)跌1.8%
中远海控	中远海发	港股海运板块走高，中远海控涨超5%，太平洋航运、东方海外国际涨3.2%，中远海发涨2.6%
上汽集团	东风汽车	与备受市场关注的新能源乘用车类似，新能源和智能化两大趋势同样深刻影响着商用车行业，仅9月份就有上汽集团、吉利控股、一汽解放、东风汽车等围绕商用新能源车发布发展规划或目标
中兰环保	深圳能源	【中兰环保：我司与深圳能源集团股份有限公司合作过项目】中兰环保(300854.SZ)9月30日在投资者互动平台表示，我司与深圳能源集团股份有限公司合作过项目
西藏矿业	东华科技	【西藏矿业万吨电池级碳酸锂项目在东华科技签约】9月30日，西藏扎布耶盐湖绿色综合开发利用万吨电池级碳酸锂项目EPC+O（设计、采购、施工及运营）合同签约仪式在东华科技举行
华灿光电	光电股份	【华灿光电：全资子公司获得政府补助3019万元】华灿光电9月30日晚间发布公告称，华灿光电股份有限公司全资子公司华灿光电(浙江)有限公司于2021年09月30日收到义乌经济技术开发区管理机构整合提升工作指挥部《关于拨付华灿光电(浙江)有限公司扶持资金的通知》的文件，同意拨付华灿光电(浙江)有限公司2021年度第七批扶持资金2578.36万元和第八批扶持资金441.31万元
恺英网络	杭州高新	【恺英网络与掌阅文化达成合作】9月30日，恺英网络于杭州高新区(滨江)举办的中国国际动漫节·中国网络作家村“IP直通车”专场，正式宣布与掌阅文化达成合作，签约知名作家洛城东，以恺英网络经典IP“蓝月”为依托原创小说作品《蓝月纪元》
华能国际	旗滨集团	【十月金股出炉！5只股获多家机构青睐 有你的持仓吗？】回顾九月券商金股表现，最牛金股为华能国际，最熊金股为旗滨集团
上海能源	江苏新能	【上海能源：拟4亿元设立中煤江苏新能源有限公司】上海能源(600508)9月30日盘后公告，公司董事会同意公司投资设立全资子公司中煤江苏新能源有限公司，注册资本4亿元
赣锋锂业	比亚迪	赣锋锂业涨5.74%，比亚迪股份涨2.1%
康希诺	君实生物	港股生物科技板块走高，康希诺生物涨近4%，中国生物制药涨近3%，君实生物、基石药业涨超2%
中国石油	中海油服	【中国石油股份(00857)跌超5%领跌石油股 API原油库存意外增加 油价冲高回落】石油股集体走低，截至发稿，中石油(00857)跌5.34%，报3.72港元；中海油服(02883)跌3.99%，报7.46港元；中石化(00386)跌2.54%，报3.83港元；中海油(00883)跌1.78%，报8.81港元
中国能建	智慧能源	中国能建董事长宋海良表示，国际集团是中国能建推进海外产业化经营向全产业链经营转变的重要主体，将有序引领中国能建12大业务全面出海，快速扩大海外综合交通、房建、市政、生态环保等非电领域业务，持续壮大传统能源、水利、建材和民爆等优势板块，抢抓新能源及综合智慧能源、城市基础设施建设等行业机遇
中国神华	中煤能源	港股煤炭板块盘初走高，南戈壁(01878.HK)涨6.7%，中国神华(01088.HK)涨近2%，中煤能源(01898.HK)涨1%
宁波银行	招商银行	【银行股今日逆势走高 机构称板块加配正当时】今日银行股逆势上涨，截至收盘，宁波银行涨超5%，招商银行涨超2%
佛山照明	国星光电	【佛山照明：拟购买西格玛100%股权以及国星光电5205.2万股】佛山照明公告，拟以支付现金的方式购买电子集团持有的西格玛100%股权以及广晟集团、广晟金控合计持有的国星光电5205.2万股，交易总对价初步拟定为15.17亿元；本次重组完成后，佛山照明及其全资子公司将合计持有国星光电21.48%股份，佛山照明将成为国星光电的控股股东
昂立教育	交大昂立	【昂立教育：拟出售交大昂立10.2%股份 预计产生收益2.13亿元】昂立教育(600661)9月29日晚间公告，拟向丽水农帮生物科技有限公司、上海新诚新创健康科技发展有限公司转让交大昂立(600530)5.01%、5.19%股份，转让价每股3.8元，交易金额约3.02亿元，初步估算预计对公司产生约2.13亿元的收益
宝钢股份	招商银行	宝钢股份、招商银行分别获净卖出5.46亿元、4.44亿元
芭田股份	德方纳米	【芭田股份：全资子公司签订硝酸供应合作框架协议】芭田股份(002170)9月29日晚间公告，近日，全资子公司贵州芭田与曲靖市德方纳米科技有限公司签署《硝酸供应合作框架协议》
东杰智能	今世缘	【东杰智能：签订今世缘成品酒包装物流中心项目合同】东杰智能(300486)9月29日晚间公告，公司与今世缘(603369)近期正式签订了南厂区智能化成品酒包装物流中心项目合同书，合同金额1.32亿元，占公司2020年度营业收入的12.76%
中国太保	中国人寿	港股内险股走高，中国财险涨近3%，中国人民保险集团涨超2%，中国太保涨近2%，中国人寿跟涨
邮储银行	招商银行	造纸板块大跌居前，玖龙纸业跌5.7%；金融、地产股相对较强，中国恒大涨10%，邮储银行、招商银行涨超2%；科技股回软，哔哩哔哩跌9.7%，快手、京东、舜宇、美团跌超3%，腾讯、网易跌超2%
中国能建	葛洲坝	中国能建吸收合并葛洲坝，今日于A股正式上市，葛洲坝已经在A股终止上市，终止上市前股价9.93元，总市值457亿元
中国能建	葛洲坝	【中国能建首日上市涨28% 股票临停】中国能建换股吸收合并葛洲坝后今日上市，目前上涨28%，股票临时停牌
北京利尔	上峰水泥	【早间公告：北京利尔、上峰水泥回应能耗管控政策影响】9月28日早间公告：北京利尔股价异动：目前生产经营正常，耐火材料制品及合金类产品全部产线运行正常，耐火原料产线除电熔镁砂外均运行正常，“能耗双控”政策未对生产经营产生重大影响
