head,tail,sentence
众兴菌业,贵州茅台,【做金针菇的上市公司跨界“酿酒”，酒还没“喝”到，股债已经双双大涨】6月20日晚间，众兴菌业发布有关签署股权收购合作意向书的提示性公告，公司拟以现金方式收购刘见、刘良跃持有的贵州茅台镇圣窖酒业股份有限公司(简称“圣窖酒业”)100%股权
大港股份,天奈科技,【大港股份：拟择机出售所持有的天奈科技股票资产】大港股份公告，公司拟择机出售所持有的天奈科技股票资产，公司持有天奈科技0.62%股份
力星股份,新强联,【力星股份：与新强联签署战略合作协议】力星股份(300421)6月21日盘后公告，近日，公司与洛阳新强联回转支承股份有限公司签署了《战略合作协议》，双方拟在风电、盾构机等关键传动件研发、试制生产各环节发挥自身优势，进行深度合作，打造多赢、可持续发展的战略合作伙伴关系
甘肃电投,建设银行,【甘肃电投：控股子公司炳灵公司收到建信投资5亿元投资价款】甘肃电投(000791)6月21日晚间公告，6月18日，公司控股子公司炳灵公司收到建信投资支付的投资价款5亿元，本次引进建信投资对炳灵公司增资即实施债转股事项，建信投资已取得中国建设银行股份有限公司的综合授信和信用额度的审批
鞍钢股份,天风证券,国际大行最新评级：机构给予鞍钢股份港股目标价8港元；汇丰研究升李宁目标价33.7%；天风证券首予时代天使买入评级；高盛上调药明生物目标价20%至157.9港元
中国能建,葛洲坝,【全球首台百万千瓦水轮发电机组发出第一度电】由中国能建葛洲坝机电公司承建安装与调试的白鹤滩水电站14号机组今日发出了全球首台百万千瓦水轮发电机组并网调试的第一度电
鞍钢股份,中核钛白,周期股的亮眼表现与鞍钢股份、中核钛白最新披露的业绩预告有关
招商蛇口,盐田港,其中，中金普洛斯仓储物流REIT以2.18亿元成交额居首，博时招商蛇口产业园REIT成交额也达到了了2.05亿元，红土创新盐田港仓储物流REIT成交金额最小，为9016万元，与中金旗下产品差距达1.28亿元
中国电信,鞍钢股份,盘面上，香港银行股大跌，汇丰控股跌超4%拖累恒指跌近百点，渣打跌近3%；石油股、保险股、大型科技等权重普遍下跌，腾讯、友邦保险均跌近3%；另一方面，电信股与钢铁股逆势走强，因中国电信调整派息政策，鞍钢股份发盈喜带动整个板块走强，弱势中表现尤为亮眼
利元亨,威高骨科,值得注意的是，下周一申购的利元亨及威高骨科市场关注度较高
中核钛白,安纳达,从二级市场表现来看，年初至今，中核钛白股价涨幅超过120%，天原股份、安纳达涨幅超过或接近60%
利元亨,威高骨科,其中，下周一申购的利元亨和威高骨科，都具有“肉签”潜质
利元亨,威高骨科,其中，下周一申购的利元亨和威高骨科，都具有“肉签”潜质
众兴菌业,贵州茅台,【众兴菌业：拟收购圣窖酒业100%股权】众兴菌业(002772)6月20日晚间公告，为促进公司双主业发展，从而增加新的盈利增长点，公司拟以现金方式收购刘见、刘良跃持有的贵州茅台镇圣窖酒业股份有限公司(简称“圣窖酒业100%）的股权
美的集团,苏宁易购,【618期间美的系全网总销售额突破160亿】美的集团消息，2021年618期间，美的系全网总销售额突破160亿，在京东、天猫、苏宁易购连续9年蝉联家电行业第一
宁波精达,科达利,宁波精达将抓住新能源发展趋势在新能源电池领域持续发力，服务科达利、震裕科技等客户，进一步占领新能源市场
北汽蓝谷,大洋电机,【清仓式减持计划来了！骑上华为汽车大牛股，这家上市公司浮盈6000多万】由于持有“华为汽车概念股”——北汽蓝谷，大洋电机今年赚得盆满钵满，准备“落袋为安”了
通策医疗,正海生物,从披露的数据来看，通策医疗今年一季度归属净利润同比增幅超9倍，而正海生物则系口腔概念股中销售毛利率最高的个股，达91.59%
宁德时代,上汽集团,同日，宁德时代与上汽集团合资成立的上汽时代和时代上汽先进动力电池产业化项目（二期）开工仪式在溧阳正式举办
永太科技,天赐材料,【427家机构组团调研永太科技和天赐材料】永太科技和天赐材料是端午节后接待机构调研最忙碌的两家上市公司
永太科技,天赐材料,公告显示，永太科技节后三天已接待了4拨机构调研，参与调研的机构家数多达170家；天赐材料则在6月17日接待了257家机构的庞大调研团
永太科技,天赐材料,永太科技15日晚间公告，子公司永太高新拟投资年产20000吨六氟磷酸锂项目；天赐材料17日晚间公告，孙公司池州天赐拟投资年产15万吨液体六氟磷酸锂项目
宁德时代,上汽集团,【上汽时代和时代上汽先进动力电池产业化项目（二期）开工】18日上午，总投资超百亿元的上汽时代和时代上汽先进动力电池产业化项目（二期）在常州市溧阳高新区开工奠基，这是宁德时代、上汽集团两大龙头企业强强联手、持续发力合作项目的落地与快速推进，在常州市六年投下的第五个百亿项目
深科技,领益智造,【深科技：拟变更对外投资及整合消费电子相关业务】深科技公告，桂林高新集团、深科技和领益智造决定终止2月24日签署的《投资协议》；公司与桂林高新集团重新签署新的《桂林项目之投资协议》，共同组建博晟科技并持续整合公司的消费电子相关业务资产
桂冠电力,长江电力,【桂冠电力：获长江电力二次举牌，持股达10%】桂冠电力公告，公司获长江电力二次举牌，持股达10%；长江电力拟继续增持不低于100万股
申通地铁,上海电气,【申通地铁：出资2450万元与上海电气设立合资公司】申通地铁公告，与上海电气共同出资设立上海申电轨道交通维保有限公司，公司出资2450万元持有合资公司49%的股权
药明康德,康希诺,【行情】港股生物技术板块午后持续拉升，药明生物(02269.HK)涨超8%破顶，药明康德(02359.HK)涨3.87%，康希诺生物(06185.HK)涨3.35%，康方生物(09926.HK)涨超2%
中信建投,光大证券,【行情】港股中资券商股拉升，中金(03908.HK)涨2.6%，中信建投证券(06066.HK)涨近2%，光大证券(06178.HK)与国联证券(01456.HK)涨约1.5%
赣锋锂业,中国铝业,【行情】港股有色金属板块抽升，赣锋锂业(01772.HK)涨4.4%，兴发铝业(00098.HK)涨2.2%，中国铝业(02600.HK)涨1%
永太科技,天赐材料,【427家机构组团调研这两家公司！什么扩产项目这么火爆？】永太科技和天赐材料是端午节后接待机构调研最忙碌的两家上市公司
永太科技,天赐材料,公告显示，永太科技节后三天已接待了4拨机构调研，参与调研的机构家数多达170家；天赐材料则在6月17日接待了257家机构的庞大调研团
冰轮环境,青达环保,冰轮环境：参股公司青达环保科创板IPO注册申请获通过，公司持有青达环保19.6%的股份，系其第二大股东
中远海控,中远海发,【行情】港股港口运输板块盘初走高，中远海控(01919.HK)、东方海外国际(00316.HK)涨超3%，中远海发(02866.HK)涨2%
东软载波,纳思达,相关公司包括东软载波、纳思达
民德电子,亚光科技,民德电子积极布局第三代功率半导体材料等关键领域；亚光科技正全力研发砷化镓/氮化镓射频芯片关键技术
国泰君安,五粮液,【国泰君安推进与宜宾发展集团、五粮液集团战略合作】6月16日至17日，国泰君安董事长贺青带队推进与宜宾发展集团、五粮液集团战略合作
中国电建,中国交建,【中国电建与中国交建签署战略合作协议】6月17日，中国电建与中国交建签署战略合作协议
大洋电机,北汽蓝谷,【大洋电机：拟出售北汽蓝谷股票不超910.98万股】大洋电机(002249)6月17日晚间公告，公司同意授权经营管理层12个月内以集中竞价交易或大宗交易方式，出售所持北汽蓝谷(600733)股票不超过910.98万股
三一重工,中国电信,【三一重工、中国电信、华为发布装备制造业首个5G全连接工厂】6月16日，三一重工、中国电信与华为共同在北京发布了装备制造业首个5G全连接工厂
华测导航,隆盛科技,其中，华测导航涨幅15.59%、赛微电子涨幅11.76%、隆盛科技上涨10.8%
宁德时代,比亚迪,【LG能源推进企业估值工作，将宁德时代、比亚迪等定为参照企业】韩国《亚洲经济》6月17日报道，据韩国投资银行（IB）业界17日消息，LG能源解决方案上市主管公司团队目前正推进企业估值工作，将中国宁德时代、比亚迪和韩国的三星SDI定为参照企业
比亚迪,中兴通讯,【行情】港股电讯设备股拉涨，酷派集团(02369.HK)涨13.6%，鸿腾精密(06088.HK)涨8%，伟易达(00303.HK)涨超4%，比亚迪电子(00285.HK)涨超3%，中兴通讯(00763.HK)涨1.5%
山东黄金,中国黄金,【行情】港股黄金及贵金属板块走低，潼关黄金跌近4%，招金矿业跌3.34%，山东黄金跌2.87%，中国黄金国际跌2%
中国太保,新华保险,【行情】港股内险股午后走低，中国太保(02601.HK)跌超3%，新华保险(01336.HK)跌1.5%，中国财险(02328.HK)跌1.74%
露笑科技,台基股份,【芯片股午后持续拉升】6月17日午后，芯片股午后持续拉升，露笑科技、台基股份均封涨停
国信证券,中远海控,【免费研报精选：航运股暴涨逻辑曝光！锂价强势还有高潮，受益龙头名单来了】国信证券指出，集运的供需矛盾短期难以缓解，即使在疫情阴霾下全球集装箱整体增速或将乏力，但生产国中国为大本营的远东-欧洲、远东-美国航线依然会运力吃紧，由于4月之后船公司都会执行最新的约价，这意味着欧线底舱15-30%、美线40-60%的货物运费都将有较大幅度上提，叠加上述现货市场的火爆，预计全年集运业的盈利会继续突破新高，建议配置核心标的-中远海控
中远海控,比亚迪,盘面上，行业板块多数上涨，鞋类板块涨幅最大，特步、361度大涨近16%；航运股大涨，中远海控涨近9%；汽车板块强势，比亚迪股份涨6%；苹果、风电、电池等概念活跃
福耀玻璃,福莱特,【行情】港股光伏板块短线集体走低，信义光能(00968.HK)跌7%，福耀玻璃(03606.HK)跌5%，福莱特玻璃(06865.HK)跌4.8%，信义能源(03868.HK)跌3.6%
日照港,青岛港,日照港51减1，青岛港128平，两港总库存179较上周同期减10
三峡能源,飞利信,净买入较多个股分别是三峡能源、东鹏饮料、飞利信等，净买入金额占当日成交额比例达2.45%、4.51%、3.13%
中际旭创,光迅科技,相关公司有中际旭创、光迅科技等
华英农业,新希望,【华英农业迎来“白马骑士”，新希望旗下资管公司正式参与重整】债务缠身的“养鸭第一股”华英农业终于迎来“新希望”
润禾材料,东岳硅材,公司方面，润禾材料、东岳硅材等主营有机硅应用材料业务
金财互联,广发证券,【金财互联：实际控制人之一被动减持1%】金财互联公告，持股，5%以上股东、董事/总经理、实际控制人之一徐正军先生质押给广发证券股份有限公司的本公司股票因触发协议约定的逾期条款，部分股票被广发证券处置导致其被动减持1%股份
东风汽车,物产中大,公开信息显示，这次东风汽车被强制执行的事由是与浙江物产中大供应链服务有限公司(600704.SH，以下简称：物产公司)的买卖合同纠纷
五方光电,光电股份,【五方光电收问询函：要求说明是否存在向关联董事输送利益的情形】6月16日，深交所向湖北五方光电股份有限公司发问询函称，2021年6月16日，公司披露《关于调整2020年限制性股票激励计划业绩考核目标的公告》
顾家家居,宏达电子,从机构评级变动看，今日机构买入型评级记录中，有4条评级记录为机构首次关注，涉及顾家家居、宏达电子等4只个股
华鹏飞,纵横股份,【华鹏飞：与纵横股份就推动无人机应用等方面战略合作】华鹏飞公告，公司与纵横股份就双方结成战略合作伙伴关系签订了《战略合作框架协议》，双方愿意在推动无人机应用、工业升级方面进行战略合作
国际医学,泰格医药,【国际医学：与泰格医药签订战略合作协议，拟合作开展产业链资源合作】国际医学公告，公司与杭州泰格医药科技股份有限公司签订了《战略合作协议》，拟通过医药临床研究项目合作、共建临床试验机构运营管理公司，探索建立医药研发服务的行业标杆、覆盖陕西省及西北地区研发服务平台并共同探索市场化的临床试验机构运营管理商业模式
康希诺,生物股份,【厄瓜多尔批准使用中国康希诺生物新冠疫苗】厄瓜多尔国家卫生监管署15日宣布，批准中国康希诺生物股份公司新冠疫苗在厄瓜多尔使用
杭可科技,宁德时代,6月15日，杭可科技公告表示，因技术协议发生变更，公司解除与宁德时代签订的4.8亿元合同
紫金矿业,长城汽车,盘面上，行业板块多数下跌，黄金贵金属板块重挫，紫金矿业跌近7%；汽车板块跌幅紧随其后，长城汽车跌超9%；中医药、医疗、铜、药品等板块大跌靠前
索菲亚,康弘药业,【午间公告：索菲亚拟5000万元至1亿元回购股份；康弘药业筹划股权激励计划】康弘药业：筹划股权激励计划，拟向激励对象授予权益占目前公司股本总额91946.4万股的比例不超过2%
深科技,振华新材,深科技：参股公司贵州振华新材料股份有限公司提交的首次公开发行股票并在科创版上市的申请获得审核通过
鞍钢股份,重庆钢铁,【行情】港股钢铁板块跌幅扩大，铁货(01029.HK)跌8.2%，鞍钢股份(00347.HK)跌4.3%，重庆钢铁股份(01053.HK)跌3.2%，西王特钢(01266.HK)跌2.5%
华菱钢铁,三一重工,【华菱钢铁：三一智慧钢铁城的提出预计将对公司业务产生积极影响】华菱钢铁(000932)6月15日在互动平台上表示，公司与三一重工是长期战略合作伙伴关系，双方开展业务深度合作，三一智慧钢铁城的提出，有利于增加钢材需求，加快公司智能化、数字化转型步伐，预计将对公司业务产生积极影响
GQY视讯,佳创视讯,【虚拟现实板块持续走强】6月15日，虚拟现实板块持续走强，截至发稿，GQY视讯、佳创视讯涨停
紫金矿业,山东黄金,【行情】港股黄金板块盘中下挫，紫金矿业(02899.HK)跌4%，招金矿业(01818.HK)跌3.7%，山东黄金(01787.HK)跌3.47%
国泰君安,浙商证券,【十大券商策略：科创板牛市已来！市场将是再次拉升，券商打头、成长接力】国泰君安证券认为市场震荡蓄力之后将是再次拉升，行业配置上“券商打头，成长接力”；浙商证券表示科创板牛市已来，目前是战略布局期，本轮始于2018年Q4的牛市仍在途中，科创板是牛市续航的发动机，当前是新阶段的底部区域，结构上，成长见底，白马分化，券商是风向标，展望未来1-2月，指数震荡，应优化持仓，加大科创板配置
云天化,兴发集团,川发龙蟒是工业级磷酸一铵行业龙头；云天化拥有化肥总产能881万吨；兴发集团构建了矿电磷一体化的完整产业链
云天化,兴发集团,川发龙蟒是工业级磷酸一铵行业龙头；云天化拥有化肥总产能881万吨；兴发集团构建了矿电磷一体化的完整产业链
日出东方,拓日新能,日出东方已开展海水淡化等太阳能光热应用；拓日新能在互动平台表示，正关注使用太阳能技术进行水质改造和海水淡化等新型运用
ST罗顿,ST沪科,在21家重组终止的公司中有*ST罗顿、ST沪科等6家ST公司，占失败案例的比例为28.57%
锡业股份,天齐锂业,【134万股东懵了，两大白马再创新低！科技股暴涨，北上资金偷偷抢买这些股】除了部分疫苗龙头，今天旅游板块的中国中免跌超4%，有色板块中有锡业股份、天齐锂业、银泰黄金等个股跌逾5%
中国平安,万科A,其中，中国平安跌逾3%，万科A跌逾2%，均创出新低
百克生物,力芯微,其中今日发行的疫苗股百克生物，明日(6月16日)发行的芯片股力芯微，都是沪市主板新股，因为所属概念以及发行价，值得期待
杭可科技,宁德时代,【杭可科技：因技术协议发生变更，公司解除与宁德时代签订的4.8亿元合同】，杭可科技公告，2021年5月17日公司收到宁德时代通过邮件发送的订单PO（简称原合同），共计4.8亿元（不含税），公司于2021年5月18日确认后，原合同生效
裕同科技,苏大维格,【裕同科技：与苏大维格签署《战略合作框架协议》】裕同科技公告，与苏大维格签署《战略合作框架协议》，就本公司与苏大维格在包装、防伪和功能性材料等多个领域合作事宜达成初步意向
包钢股份,北方稀土,【包钢股份：控股股东及其控股子公司拟增持8亿元公司股份】包钢股份公告，作为原增持计划的替代方案，控股股东包钢集团及其控股子公司北方稀土，计划于7月5日起3个月内通过上海证券交易所交易系统增持公司股份，金额为8亿元
时代电气,中国通号,高盛曾指出，公司有望缩小与国外龙头差距，看好中车时代电气及中国通号
康希诺,生物股份,【康希诺生物冷藏配送中心项目开建】，据《滨海时报》消息，近日，位于天津经开区西区的康希诺生物股份公司冷藏配送中心项目开工建设
葛洲坝,博天环境,【葛洲坝生态成“白衣骑士”？】6月4日晚，博天环境集团股份有限公司(以下简称“博天环境”，603603.SH)发布十余份公告，称公司控股股东、实控人拟发生变更
东北证券,陆家嘴,【东北证券处罚被记入证券期货市场诚信档案数据库】在第十三届陆家嘴论坛上，证监会主席易会满表示，随着注册制改革的持续推进，市场主体的归位尽责意识明显增强，优胜劣汰机制进一步健全，市场整体生态呈现积极向好变化
容百科技,东吴证券,日前，容百科技时任董事长暨实际控制人白厚善、时任董事会秘书张媛等公司工作人员共同参加了东吴证券“2021中期策略会”相关投资者交流会活动，会上透露有关经营生产的重大信息，并做出公司业绩超预期的相关预测，对股价影响明显、传播范围广，这一行为严重违反了信息披露公平性要求，影响恶劣，最终双双遭到了上交所的通报批评
暴风集团,光大证券,【索赔42亿元！祸起暴风集团，开曼浸鑫向MPS原卖方股东提起诉讼】中国财团被3个意大利人割韭菜后续！光大证券近日发布公告，披露全资子公司光大资本投资有限公司MPS事项及后续情况
中核钛白,龙蟠科技,公司方面，中核钛白拟投资121亿元建设磷酸铁锂生产线及配套设施；龙蟠科技拟收购贝特瑞旗下磷酸铁锂资产
捷成股份,掌阅科技,捷成股份与华为达成了企业战略级合作；掌阅科技与华为联合定制开发运营“华为阅读”产品
拓普集团,海融科技,【新能源汽车太火！这家公司迎百余机构调研】个股热度方面，拓普集团、海融科技均获超百家机构调研，受关注度居前
金智科技,开普检测,【金智科技：中标风光储充智能微电网项目】金智科技(002090)6月14日晚间公告，近日，公司成功中标许昌开普检测研究院股份有限公司（证券简称：开普检测，证券代码：003008）“开普园区风光储充智能微电网项目”PC总承包项目，中标金额850万元
美邦服饰,中泰证券,【美邦服饰：控股股东拟协议转让公司2%股权】美邦服饰公告，公司控股股东、实控人华服投资拟通过协议转让方式，向赖星宇转让其所持公司5025万股无限售流通股，占公司股份总数的2%，以偿还其在中泰证券部分质押债务、降低股票质押风险
健康元,丽珠集团,【健康元：注射用奥美拉唑钠通过仿制药一致性评价】健康元公告，控股子公司丽珠集团全资子公司丽珠制药厂收到国家药品监督管理局核准签发的《药品补充申请批准通知书》，注射用奥美拉唑钠通过仿制药质量和疗效一致性评价
长城汽车,宁德时代,【哈弗混动即将全面落地？，长城牵手宁德保十年“粮草”】一周之前长城汽车与宁德时代签署的“十年之约”，让长城主力品牌哈弗的新能源布局浮现一角
隆基股份,宁德时代,北向资金对716只股票的持股数增加，减仓了858只股票，其中对隆基股份加仓金额最大，对宁德时代减仓金额最大
中远海控,中信建投,随着股价强势冲高，市场对中远海控的关注度也急剧升温，踏空者捶胸顿足，提前割肉者后悔不已；专业投资机构对中远海控也进一步调高了目标价，例如中信建投证券分析师将中远海控6个月目标价上调至38元，这意味着中远海控股价仍有超过46%的上涨空间
康希诺,生物股份,【阿根廷批准中国康希诺生物新冠疫苗在该国紧急使用】阿根廷卫生部11日宣布，授权批准中国康希诺生物股份公司新冠疫苗在阿根廷的紧急使用许可
福达股份,比亚迪,【福达股份：比亚迪DM-i车型曲轴订单大增】6月11日，福达股份(603166)有关人士向中国证券报记者表示，受益于比亚迪DM-i车型陆续推出且销售状况良好，DM-i车型独家曲轴供应商福达股份订单大增，曲轴生产车间已处于超负荷生产状态
中国太保,新华保险,【行情】港股内险股走低，中国太保(02601.HK)跌近3%，中国人民保险集团(01339.HK)跌1.4%，新华保险(01336.HK)与中国太平(00966.HK)跌近0.9%
比亚迪,海尔智家,【行情】恒生科技指数转跌，比亚迪电子(00285.HK)跌近3%，海尔智家(06690.HK)跌2.3%，京东(09618.HK)跌1.8%
开尔新材,深圳能源,【碳交易概念早盘大涨，开尔新材涨超11%】碳交易概念早盘大涨，截至发稿，开尔新材涨超11%，菲达环保涨停，深圳能源、百川畅银涨超6%
山煤国际,昊华能源,【煤炭股早盘集体走强，山煤国际涨超4%】煤炭股早盘集体走强，截至发稿，山煤国际涨超4%，山西焦煤、晋控煤业、昊华能源涨超2%
鞍钢股份,重庆钢铁,【行情】港股钢铁股走强，铁货(01029.HK)涨近11%，鞍钢股份(00347.HK)涨2.24%，重庆钢铁股份(01053.HK)涨近2%，马鞍山钢铁股份(00323.HK)涨0.5%
中金公司,中国动力,【中金公司：当前时点全球动力电池产业链将迎结构性变化拐点】中金公司指出，当前时点全球动力电池产业链将迎结构性变化拐点，一方面欧美本土动力产业链的匮乏加强了对产业链本土化培育的需求；另一方面欧美新能源车快速渗透拉动海外装机需求高增；使得过去十年全球动力产业链向东亚集中的演变格局转向全球化，为中国动力产业链切入欧美本土配套带来历史机遇，我们看好国内动力和材料龙头先发优势，产业链马太效应将愈发凸显
江苏银行,平安银行,继续重点推荐江苏银行和平安银行，预计将是各自类别银行中业绩弹性最大、性价比最高的标的
招商银行,宁波银行,同时继续推荐招商银行和宁波银行
ST天成,ST岩石,【白酒借壳炒作乱象能否持续？*ST天成多次澄清仍14连板，ST岩石12涨停后砸出跌停】*ST天成的股价从今年2月下旬就开始大涨
平安银行,中国银行,【总额约4900亿元，上市银行年度分红大戏开锣】截至6月10日，平安银行、中国银行等8家银行已经实施2020年度现金分红，共计派发现金红利682.42亿元
芯源微,上海临港,【芯源微：拟定增募资不超10亿元】芯源微(688037)6月11日晚间公告，拟定增募集资金不超10亿元，扣除发行费用后的募集资金净额用于上海临港研发及产业化项目、高端晶圆处理设备产业化项目(二期)及补充流动资金
中国石化,中国石油,【股民调侃：问君能有几多愁？恰似没有中石油！年初建仓涨幅碾压逾8成A股】6月11日，“两桶油”双双上涨，中国石化上涨1.75%；中国石油上涨5.7%，盘中一度涨超8%
昭衍新药,百克生物,【昭衍新药：参与百克生物A股IPO战略配售】昭衍新药(603127)6月11日晚间公告，公司以自有资金参与百克生物A股IPO的战略投资者配售
润和软件,招商证券,【润和软件再度涨停，招商证券交易单元净卖出1.64亿元】润和软件(300339)今日再度涨停，招商证券交易单元买入1.19亿元并卖出2.83亿元，一机构买入9539万元并卖出8931万元
酒鬼酒,山西汾酒,此外，酒鬼酒、山西汾酒等尾盘同样出现砸盘
鞍钢股份,重庆钢铁,盘面上，钢铁、稀土、燃气、石油板块涨幅靠前，中石油劲升近4%创16个月新高价，鞍钢股份、重庆钢铁均涨超3%；体育用品股再度活跃，安踏、李宁涨超2%；汽车股普遍上扬，大型科技股美团收涨3%，快手涨超2%，阿里巴巴、京东跌超1%；军工股跌幅明显，家电股、内房股、乳制品股、中资券商股全全天表现弱势
中兴通讯,中国电信,【中兴通讯将与中国电信在云和云网操作系统等领域展开合作】中兴通讯微信公众号6月11日消息，2021年6月9日，中兴通讯与中国电信在北京签署《云网核心能力战略合作协议》
建设银行,陆家嘴,【建设银行行长王江：核心数据工具和分析方法将成为未来金融机构核心竞争力】建设银行行长王江在第十三届陆家嘴论坛上谈及风险认识时表示，要革新数据应用方式，在以数据为关键要素的数字经济时代，数据已经成为重要的战略资产，数据整合、数据挖掘和数据分析等能力的提升，有助于优化客户选择，拓宽业务范围，稳定资产质量
中信证券,浪潮信息,【中信证券：浪潮信息受益服务器市场竞争格局改善，预计公司基本面将持续向好】中信证券指出，浪潮信息受益于国内服务器市场竞争格局改善，全球服务器市场集中度提高54，云厂商需求继续占据市场增量主体等因素，预计浪潮信息基本面将持续向好，上调公司2021-2022年EPS预测为1.36/1.77元(原为1.31/1.73元)348，新增2023年EPS预测为2.19元，给予公司2021年PE30倍，对应目标价40.80元16，维持“买入”评级
长城汽车,比亚迪,【行情】港股汽车板块造好，长城汽车(02333.HK)涨超5%，比亚迪股份(01211.HK)涨近2%
上海临港,陆家嘴,【潘功胜：将在上海临港新片区、粤港澳大湾区、海南自贸港开展外汇管理高水平开放试点】6月10日，央行副行长潘功胜在“第十三届陆家嘴论坛”上做主题演讲中透露，近期将在上海临港新片区以及粤港澳大湾区和海南自贸港部分地区，开展外汇管理高水平开放试点
陆家嘴,动力源,【郭树清：中国生产的商品是稳定全球通胀的千钧锚】央行党委书记、银保监会主席郭树清在第十三届陆家嘴论坛上表示，如果说最发达国家大量印发的货币形成了拉动全球通胀的动力源，，那么，中国数亿劳动者生产的商品就是稳定全球通胀的千钧锚
招商证券,国泰君安,【行情】港股中资券商股走低，鲁证期货(01461.HK)跌近2%，招商证券(06099.HK)跌0.68%，国泰君安(02611.HK)跌0.88%
比亚迪,长城汽车,【行情】港股汽车股拉升，比亚迪股份(01211.HK)涨近7%，长城汽车(02333.HK)涨2.8%，吉利汽车(00175.HK)2.3%，北京汽车(01958.HK)涨1.3%
福斯特,阳光电源,【机械板块早盘强力拉升】爱旭股份、福斯特、阳光电源等多股涨超5%；机械ETF（516960）开盘涨超2%，成交额超500万元
中远海控,中远海发,【行情】港股航运及港口板块连续五个交易日走强，太平洋航运(02343.HK)涨13.17%，中远海控(01919.HK)涨9.3%，中远海发(02866.HK)涨6.7%，东方海外国际(00316.HK)涨4.2%
招商证券,贵州茅台,【招商证券：维持贵州茅台“强烈推荐-A”投资评级】招商证券研报认为，贵州茅台召开股东大会，从品牌价值、产能规划、公司战略等多个方面与投资者进行积极交流
中宠股份,瑞普生物,去年以来，中宠股份、瑞普生物等翻倍牛股频频出现
中信建投,中远海控,【中信建投：上调中远海控目标价至38元】中信建投称，目前SCFI指数同比涨幅达285%，运价或将在未来一段时间继续创新高
长城汽车,长安汽车,实地走访了北京多个汽车品牌4S店了解到，自2020年年底发酵的汽车芯片短缺问题，如今已经传导到了汽车销售端，大众、福特、长城汽车、长安汽车等主要汽车品牌均出现了销售车辆现货少、订货周期延长等情况
东航物流,东方航空,【“航空混改第一股”东航物流：市值超396亿，上市不是终点】6月9日，中国东方航空集团有限公司(东航集团)旗下东方航空物流股份有限公司(东航物流，601156)在上海证券交易所主板挂牌上市
广发证券,中信证券,具体来看，卖一广发证券深圳前海证券营业部卖出1.7亿元，中信证券深圳分公司卖出7992万元
华泰证券,海通证券,买方前二席位华泰证券北京雍和宫、海通证券嘉兴中山西路均买入超6000万元
广电运通,长沙银行,【广电运通：参与长沙银行数字人民币核心业务系统建设】广电运通消息，近期，由长沙市人民政府、长沙银行及各试点机构等共同出资的派发数字人民币消费红包活动成功举行，总计派发30万个、价值4000万的消费红包
长沙银行,广电运通,其中，长沙银行数字人民币核心业务系统由广电运通全力支持建设
江河集团,上海建工,【江河集团：子公司中标2.12亿元外墙专业分包工程】江河集团公告，公司全资子公司上海江河幕墙系统工程有限公司近日收到上海建工一建集团有限公司发来的浙江省宁波市东部新城核心区外墙专业分包工程中标通知书，中标金额约为人民币2.12亿元，约占公司2020年度营业收入的1.17%
中路股份,路德环境,【中路股份：拟减持持有的路德环境部分股票】中路股份(600818)6月10日晚间公告，为促进公司股东价值最大化，合理配置公司资产结构，公司拟通过集中竞价交易或大宗交易的方式减持公司目前持有的路德环境部分股票
中国石化,中国电信,今天，中国石化、中国电信等23家单位代表集体签约，宣告加入长安链生态联盟，至此长安链生态联盟成员达50家
兖州煤业,中国神华,【行情】港股煤炭股收窄涨幅，久泰邦达能源(02798.HK)涨7.9%，兖州煤业(01171.HK)涨5.5%，中国神华(01088.HK)涨1.5%
兖州煤业,中国神华,【行情】港股煤炭股攀升，久泰邦达能源涨10.88%，兖州煤业涨6.4%，中国神华涨2%，首钢资源涨3.2%
重庆钢铁,鞍钢股份,【行情】港股钢铁股走强，重庆钢铁股份(01053.HK)涨5.4%，铁货(01029.HK)涨5.26%，鞍钢股份(00347.HK)涨3.36%，马鞍山钢铁股份(00323.HK)涨2.54%
中信证券,生益科技,【中信证券：2021年生益科技有望迎业绩大年，给予目标价30元评级“买入”】中信证券研报认为，生益科技是覆铜板行业龙头，全球市场份额排名第二
中信证券,顺丰控股,【中信证券：顺丰控股处于产能投入的上行周期，维持“买入”评级】中信证券研报认为，考虑到顺丰控股今年处于产能投入的上行周期，整体业绩会有所承压，但是到下半年部分新产能投入以及四网融通料将逐步见效，公司业绩有望同比改善，同时新一轮产能投入上行期后（2020H2~2021），预计明年公司步入成本改善的产能利用率爬坡期，并且并表嘉里物流，公司业绩将明显修复
宁德时代,比亚迪,6月8日盘中，有媒体报道称，苹果正在与宁德时代和比亚迪就苹果电动汽车的电池供应进行早期谈判
比亚迪,宁德时代,直接引爆了比亚迪股价，盘中一度冲高超8%，宁德时代亦有小幅拉升
中信证券,爱美客,【中信证券：首次覆盖爱美客，给予“增持”评级】中信证券研报指出，爱美客是国内领先的创新型生物医用软组织修复材料的龙头企业，已有6款III类医疗器械注册证的产品获批上市，持续的研发投入保障了较好的创新产品梯队，伴随国内医疗美容市场的持续扩容和国产化率的提高，公司的长期发展前景良好
崇达技术,兴森科技,崇达技术和兴森科技在互动平台表示，会根据原材料价格波动调整PCB产品价格
